"key","parent","text"
1,,"娛樂"
2,1,"名人"
3,1,"閑聊"
4,1,"遊戲"
5,1,"電影"
6,1,"音樂"
7,1,"電視"
8,,"商業"
9,8,"商業理財"
10,8,"經濟"
11,8,"企業家"
12,8,"投資"
13,8,"房地產"
14,8,"股票債卷"
15,,"生活方式"
16,15,"建築"
17,15,"藝術"
18,15,"汽車"
19,15,"流行時尚"
20,15,"美酒佳餚"
21,15,"健康保健"
22,15,"文學"
23,15,"旅遊"
24,,"運動"
25,24,"棒球"
26,24,"籃球"
27,24,"自行車運動"
28,24,"美式足球"
29,24,"高爾夫"
30,24,"曲棍球"
31,24,"足球"
32,24,"網球"
33,,"科技"
34,33,"電腦"
35,33,"消費電子"
36,33,"小玩意"
37,33,"網路"
38,33,"科學"
39,2,"男演員"
40,2,"相片"
41,3,"髮型"
42,4,"立體3d遊戲"
43,4,"動作類遊戲"
44,4,"冒險類遊戲"
45,4,"街機類遊戲"
46,4,"射擊類遊戲"
47,4,"棒球類遊戲"
48,4,"籃球類遊戲"
49,4,"雙輪車類遊戲"
50,4,"紙盤遊戲"
51,4,"競速遊戲"
52,4,"紙牌遊戲"
53,4,"電腦遊戲"
54,4,"烹飪遊戲"
55,4,"下載多種遊戲"
56,4,"教育類遊戲"
57,4,"足球類遊戲"
58,4,"免費遊戲"
59,4,"線上遊戲"
60,4,"遊戲下載"
61,4,"遊戲評論"
62,4,"遊戲網站"
63,5,"最佳影片"
64,5,"買影集"
65,5,"偶像電影"
66,5,"偶像電影集"
67,5,"舊片"
68,5,"迪士尼電影"
69,5,"下載影片"
70,5,"電影DVD "
71,5,"影片"
72,5,"電影節"
73,5,"免費電影"
74,5,"免費電影"
75,5,"免費影片"
76,5,"搞笑影片"
77,5,"精采片段"
78,5,"家庭電影"
79,5,"恐怖片"
80,5,"當紅電影"
81,5,"電影索引"
82,5,"電影片段"
83,5,"電影下載"
84,5,"線上電影"
85,5,"看線上電影"
86,5,"Youtube 影片"
87,6,"買音樂"
88,6,"古典樂"
89,6,"俱樂部音樂"
90,6,"鄉村樂"
91,6,"舞曲"
92,6,"下載音樂"
93,6,"免費音樂"
94,6,"爵士樂"
95,6,"拉丁樂曲"
96,6,"聽免費音樂"
97,6,"聽音樂"
98,6,"實況演奏音樂"
99,6,"MP3音樂"
100,7,"有線電視"
101,7,"數位電視"
102,7,"平面電視"
103,7,"平面電視"
104,7,"美食聯播網"
105,7,"高畫質電視"
106,7,"液晶電視"
107,7,"電漿電視"
108,7,"衛星電視"
109,9,"購車理財"
110,9,"商用簿記"
111,9,"商業諮詢"
112,9,"商業理財"
113,9,"公司出售"
114,9,"商業計畫"
115,9,"商業企劃"
116,9,"中小企業"
117,9,"商業策略"
118,9,"購買企業"
119,9,"車險"
120,9,"汽車理財"
121,9,"在家工作"
122,9,"房屋抵押借款"
123,9,"抵押借款"
124,9,"抵押試算表"
125,9,"抵押貸款"
126,9,"抵押貸款"
127,9,"抵押借款率"
128,9,"抵押借款率"
129,9,"網路銀行"
130,9,"個人理財"
131,9,"小型企業"
132,9,"小型企業促銷"
133,10,"經濟分析"
134,10,"經濟發展"
135,10,"經濟成長"
136,10,"經濟策略"
137,10,"經濟體系"
138,10,"經濟學"
139,10,"網路社群"
140,11,"創業"
141,11,"商業企業家"
142,11,"創業中心"
143,11,"企業家工作"
144,11,"創業雜誌"
145,11,"企業家戶聯網"
146,11,"創業機會"
147,11,"創業機關"
148,12,"資產管理"
149,12,"理財顧問"
150,12,"財務分析"
151,12,"股市"
152,13,"美國房地產"
153,13,"找土地"
154,13,"房地產仲介"
155,13,"房屋仲介"
156,13,"土地出售"
157,13,"投資房地產"
158,13,"地產經紀執照"
159,13,"房地產表列"
160,13,"房地產市場"
161,13,"房地產"
162,13,"土地出粗"
163,13,"土地出售"
164,13,"找土地"
165,14,"購買股票"
166,14,"如何投資"
167,14,"學習股票投資"
168,14,"股票仲介"
169,14,"股市"
170,14,"股價"
171,14,"票卷回收報酬率"
172,16,"建築"
173,16,"建築設計"
174,16,"設計工作"
175,16,"設計工作室"
176,16,"房屋設計"
177,16,"設計中"
178,16,"房屋內部設計"
179,16,"廚房設計"
180,16,"景觀設計"
181,17,"藝術品出售"
182,17,"藝廊"
183,17,"線上藝術展"
184,18,"汽車配件"
185,18,"汽車拍賣場"
186,18,"汽車經銷商"
187,18,"車險"
188,18,"汽車貸款"
189,18,"汽車零件"
190,18,"租車"
191,18,"修車"
192,18,"賣車"
193,18,"車展"
194,18,"汽車出售"
195,18,"骨董車"
196,18,"混合動力車"
197,18,"新車"
198,18,"舊車"
199,18,"租車"
200,18,"二手車"
201,19,"嬰/幼兒裝"
202,19,"童裝"
203,19,"童裝店"
204,19,"名牌服飾"
205,19,"服裝設計"
206,19,"服裝設計師"
207,19,"服裝秀"
208,19,"少女裝"
209,19,"孕婦裝"
210,19,"男裝"
211,19,"女裝"
212,20,"嬰幼兒食品"
213,20,"蛋糕食譜"
214,20,"雞肉食譜"
215,20,"中餐"
216,20,"減肥餐"
217,20,"速食"
218,20,"食物"
219,20,"健康食品"
220,20,"印度餐"
221,20,"義大利餐"
222,20,"垃圾食品"
223,20,"墨西哥餐"
224,20,"有機食品"
225,20,"食譜"
226,20,"酒類"
227,21,"口腔衛生"
228,21,"減肥藥"
229,21,"練習"
230,21,"健身器材"
231,21,"健身"
232,21,"健康"
233,21,"保健"
234,21,"健康俱樂部"
235,21,"健康食品"
236,21,"健保"
237,21,"健康雜誌"
238,21,"運動"
239,21,"健身運動"
240,22,"古書"
241,22,"有聲書"
242,22,"幼兒叢書"
243,22,"暢銷書"
244,22,"k書俱樂部"
245,22,"書評"
246,22,"書類搜尋"
247,22,"書店"
248,22,"兒童書類"
249,22,"漫畫書"
250,22,"小說"
251,22,"文學"
252,22,"詩"
253,22,"教科書"
