"key","parent","text"
1,,"娱乐"
2,1,"名人"
3,1,"闲聊"
4,1,"游戏"
5,1,"电影"
6,1,"音乐"
7,1,"电视"
8,,"商业"
9,8,"商业理财"
10,8,"经济"
11,8,"企业家"
12,8,"投资"
13,8,"房地产"
14,8,"股票债卷"
15,,"生活方式"
16,15,"建筑"
17,15,"艺术"
18,15,"汽车"
19,15,"流行时尚"
20,15,"美酒佳肴"
21,15,"健康保健"
22,15,"文学"
23,15,"旅游"
24,,"运动"
25,24,"棒球"
26,24,"篮球"
27,24,"自行车运动"
28,24,"美式足球"
29,24,"高尔夫"
30,24,"曲棍球"
31,24,"足球"
32,24,"网球"
33,,"科技"
34,33,"计算机"
35,33,"消费电子"
36,33,"小玩意"
37,33,"网络"
38,33,"科学"
39,2,"男演员"
40,2,"相片"
41,3,"发型"
42,4,"立体3d游戏"
43,4,"动作游戏"
44,4,"冒险游戏"
45,4,"街机游戏"
46,4,"射击类游戏"
47,4,"棒球类游戏"
48,4,"篮球游戏"
49,4,"机车游戏"
50,4,"纸盘游戏"
51,4,"竞速游戏"
52,4,"纸牌游戏"
53,4,"计算机游戏"
54,4,"烹饪游戏"
55,4,"下载游戏"
56,4,"教育游戏"
57,4,"足球类游戏"
58,4,"免费游戏"
59,4,"在线游戏"
60,4,"游戏下载"
61,4,"游戏评论"
62,4,"游戏网站"
63,5,"最佳影片"
64,5,"买影集"
65,5,"偶像片"
66,5,"偶像电影集"
67,5,"老电影"
68,5,"迪斯尼电影"
69,5,"下载影片"
70,5,"电影DVD "
71,5,"影片"
72,5,"电影节"
73,5,"免费电影"
74,5,"免费电影"
75,5,"免费影片"
76,5,"搞笑影片"
77,5,"精采片段"
78,5,"家庭电影"
79,5,"恐怖片"
80,5,"热门电影"
81,5,"电影简介"
82,5,"电影片段"
83,5,"影片下载"
84,5,"在线电影"
85,5,"看在线电影"
86,5,"Youtube 影片"
87,6,"买音乐"
88,6,"古典乐"
89,6,"俱乐部音乐"
90,6,"乡村乐"
91,6,"舞曲"
92,6,"下载音乐"
93,6,"免费音乐"
94,6,"爵士乐"
95,6,"拉丁乐曲"
96,6,"听免费音乐"
97,6,"听音乐"
98,6,"实况音乐"
99,6,"MP3音乐"
100,7,"有线电视"
101,7,"数字电视"
102,7,"平面电视"
103,7,"平面电视"
104,7,"美食互联网"
105,7,"高画质电视"
106,7,"液晶电视"
107,7,"电浆电视"
108,7,"卫星电视"
109,9,"购车理财"
110,9,"商用簿记"
111,9,"商业咨询"
112,9,"商业理财"
113,9,"公司出售"
114,9,"商业计划"
115,9,"商业企划"
116,9,"中小企业"
117,9,"商业策略"
